ID,type,http__www_w3_org_2004_02_skos_core_broader,http__www_w3_org_1999_02_22-rdf-syntax-ns_type,http__purl_org_dc_terms_description,http__www_w3_org_2004_02_skos_core_narrower,http__www_w3_org_2004_02_skos_core_inScheme,http__www_w3_org_2004_02_skos_core_member,http__www_w3_org_2004_02_skos_core_prefLabel
https://aphia.org/ns/traits/fossil_range#cenozoic,concept,https://aphia.org/ns/traits/fossil_range#phanerozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#paleogene,https://aphia.org/ns/traits/,,cenozoic
https://aphia.org/ns/traits/fossil_range#gorstian,concept,https://aphia.org/ns/traits/fossil_range#ludlow,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,gorstian
https://aphia.org/ns/traits/fossil_range#famennian,concept,https://aphia.org/ns/traits/fossil_range#devonian_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,famennian
https://aphia.org/ns/traits/fossil_range#lutetian,concept,https://aphia.org/ns/traits/fossil_range#eocene,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,lutetian
https://aphia.org/ns/traits/fossil_range#bartonian,concept,https://aphia.org/ns/traits/fossil_range#eocene,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,bartonian
https://aphia.org/ns/traits/fossil_range#capitanian,concept,https://aphia.org/ns/traits/fossil_range#guadalupian,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,capitanian
https://aphia.org/ns/traits/fossil_range#tithonian,concept,https://aphia.org/ns/traits/fossil_range#jurassic_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,tithonian
https://aphia.org/ns/traits/fossil_range#kasimovian,concept,https://aphia.org/ns/traits/fossil_range#pennsylvanian_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,kasimovian
https://aphia.org/ns/traits/fossil_range#stage_5,concept,https://aphia.org/ns/traits/fossil_range#series_3,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,stage 5
https://aphia.org/ns/traits/fossil_range#stenian,concept,https://aphia.org/ns/traits/fossil_range#mesoproterozoic,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,stenian
https://aphia.org/ns/traits/fossil_range#triassic,concept,https://aphia.org/ns/traits/fossil_range#mesozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#triassic_upper,https://aphia.org/ns/traits/,,triassic
https://aphia.org/ns/traits/fossil_range#lopingian,concept,https://aphia.org/ns/traits/fossil_range#permian,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#wuchiapingian,https://aphia.org/ns/traits/,,lopingian
https://aphia.org/ns/traits/fossil_range#toarcian,concept,https://aphia.org/ns/traits/fossil_range#jurassic_lower,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,toarcian
https://aphia.org/ns/traits/fossil_range#carnian,concept,https://aphia.org/ns/traits/fossil_range#triassic_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,carnian
https://aphia.org/ns/traits/fossil_range#hadean,concept,,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,hadean
https://aphia.org/ns/traits/fossil_range#pleistocene,concept,https://aphia.org/ns/traits/fossil_range#quaternary,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#calabrian,https://aphia.org/ns/traits/,,pleistocene
https://aphia.org/ns/traits/fossil_range#mesoproterozoic,concept,https://aphia.org/ns/traits/fossil_range#proterozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#ectasian,https://aphia.org/ns/traits/,,mesoproterozoic
https://aphia.org/ns/traits/fossil_range#ludlow,concept,https://aphia.org/ns/traits/fossil_range#silurian,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#gorstian,https://aphia.org/ns/traits/,,ludlow
https://aphia.org/ns/traits/fossil_range#triassic_middle,concept,https://aphia.org/ns/traits/fossil_range#triassic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#ladinian,https://aphia.org/ns/traits/,,triassic middle
https://aphia.org/ns/traits/fossil_range#cryogenian,concept,https://aphia.org/ns/traits/fossil_range#neoproterozoic,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,cryogenian
https://aphia.org/ns/traits/fossil_range#aquitanian,concept,https://aphia.org/ns/traits/fossil_range#miocene,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,aquitanian
https://aphia.org/ns/traits/fossil_range#aalenian,concept,https://aphia.org/ns/traits/fossil_range#jurassic_middle,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,aalenian
https://aphia.org/ns/traits/fossil_range#jurassic_lower,concept,https://aphia.org/ns/traits/fossil_range#jurassic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#sinemurian,https://aphia.org/ns/traits/,,jurassic lower
https://aphia.org/ns/traits/fossil_range#gelasian,concept,https://aphia.org/ns/traits/fossil_range#pleistocene,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,gelasian
https://aphia.org/ns/traits/fossil_range#pridoli,concept,https://aphia.org/ns/traits/fossil_range#silurian,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,pridoli
https://aphia.org/ns/traits/fossil_range#paibian,concept,https://aphia.org/ns/traits/fossil_range#furongian,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,paibian
https://aphia.org/ns/traits/fossil_range#dapingian,concept,https://aphia.org/ns/traits/fossil_range#ordovician_middle,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,dapingian
https://aphia.org/ns/traits/fossil_range#devonian_middle,concept,https://aphia.org/ns/traits/fossil_range#devonian,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#eifelian,https://aphia.org/ns/traits/,,devonian middle
https://aphia.org/ns/traits/fossil_range#pliocene,concept,https://aphia.org/ns/traits/fossil_range#neogene,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#piacenzian,https://aphia.org/ns/traits/,,pliocene
https://aphia.org/ns/traits/fossil_range#jurassic_middle,concept,https://aphia.org/ns/traits/fossil_range#jurassic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#callovian,https://aphia.org/ns/traits/,,jurassic middle
https://aphia.org/ns/traits/fossil_range#paleoproterozoic,concept,https://aphia.org/ns/traits/fossil_range#proterozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#orosirian,https://aphia.org/ns/traits/,,paleoproterozoic
https://aphia.org/ns/traits/fossil_range#cretaceous_lower,concept,https://aphia.org/ns/traits/fossil_range#cretaceous,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#valanginian,https://aphia.org/ns/traits/,,cretaceous lower
https://aphia.org/ns/traits/fossil_range#bathonian,concept,https://aphia.org/ns/traits/fossil_range#jurassic_middle,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,bathonian
https://aphia.org/ns/traits/fossil_range#mississippian,concept,https://aphia.org/ns/traits/fossil_range#carboniferous,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#mississippian_upper,https://aphia.org/ns/traits/,,mississippian
https://aphia.org/ns/traits/fossil_range#maastrichtian,concept,https://aphia.org/ns/traits/fossil_range#cretaceous_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,maastrichtian
https://aphia.org/ns/traits/fossil_range#bajocian,concept,https://aphia.org/ns/traits/fossil_range#jurassic_middle,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,bajocian
https://aphia.org/ns/traits/fossil_range#holocene,concept,https://aphia.org/ns/traits/fossil_range#quaternary,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,holocene
https://aphia.org/ns/traits/fossil_range#devonian_lower,concept,https://aphia.org/ns/traits/fossil_range#devonian,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#pragian,https://aphia.org/ns/traits/,,devonian lower
https://aphia.org/ns/traits/fossil_range#priabonian,concept,https://aphia.org/ns/traits/fossil_range#eocene,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,priabonian
https://aphia.org/ns/traits/fossil_range#stage_2,concept,https://aphia.org/ns/traits/fossil_range#terreneuvian,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,stage 2
https://aphia.org/ns/traits/fossil_range#guadalupian,concept,https://aphia.org/ns/traits/fossil_range#permian,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#capitanian,https://aphia.org/ns/traits/,,guadalupian
https://aphia.org/ns/traits/fossil_range#ordovician_upper,concept,https://aphia.org/ns/traits/fossil_range#ordovician,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#katian,https://aphia.org/ns/traits/,,ordovician upper
https://aphia.org/ns/traits/fossil_range#eocene,concept,https://aphia.org/ns/traits/fossil_range#paleogene,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#bartonian,https://aphia.org/ns/traits/,,eocene
https://aphia.org/ns/traits/fossil_range#eifelian,concept,https://aphia.org/ns/traits/fossil_range#devonian_middle,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,eifelian
https://aphia.org/ns/traits/fossil_range#pennsylvanian_lower,concept,https://aphia.org/ns/traits/fossil_range#pennsylvanian,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#bashkirian,https://aphia.org/ns/traits/,,pennsylvanian lower
https://aphia.org/ns/traits/fossil_range#mesoarchean,concept,https://aphia.org/ns/traits/fossil_range#archaen,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,mesoarchean
https://aphia.org/ns/traits/fossil_range#wordian,concept,https://aphia.org/ns/traits/fossil_range#guadalupian,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,wordian
https://aphia.org/ns/traits/fossil_range#artinskian,concept,https://aphia.org/ns/traits/fossil_range#cisuralian,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,artinskian
https://aphia.org/ns/traits/fossil_range#pleistocene_middle,concept,https://aphia.org/ns/traits/fossil_range#pleistocene,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,pleistocene middle
https://aphia.org/ns/traits/fossil_range#albian,concept,https://aphia.org/ns/traits/fossil_range#cretaceous_lower,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,albian
